Date Time,System Marginal Price (SMP)
2018-12-28 16:00:00,33.12
2018-12-28 17:00:00,32.1
2018-12-28 18:00:00,31.75
2018-12-28 19:00:00,31.61
2018-12-28 20:00:00,30.7
2018-12-28 21:00:00,28.06
2018-12-28 22:00:00,27.19
2018-12-28 23:00:00,27.18
2018-12-29 00:00:00,29.54
2018-12-29 01:00:00,30.12
2018-12-29 02:00:00,31.74
2018-12-29 03:00:00,31.74
2018-12-29 04:00:00,31.74
2018-12-29 05:00:00,29.55
2018-12-29 06:00:00,28.47
2018-12-29 07:00:00,27.31
2018-12-29 08:00:00,30.7
2018-12-29 09:00:00,31.68
2018-12-29 10:00:00,31.75
2018-12-29 11:00:00,32.36
2018-12-29 12:00:00,32.99
2018-12-29 13:00:00,32.11
2018-12-29 14:00:00,31.77
2018-12-29 15:00:00,31.75
2018-12-29 16:00:00,32.39
2018-12-29 17:00:00,33.59
2018-12-29 18:00:00,31.8
2018-12-29 19:00:00,31.63
2018-12-29 20:00:00,29.35
2018-12-29 21:00:00,28.36
2018-12-29 22:00:00,28.81
2018-12-29 23:00:00,28.04
2018-12-30 00:00:00,27.18
2018-12-30 01:00:00,27.18
2018-12-30 02:00:00,27.19
2018-12-30 03:00:00,28.75
2018-12-30 04:00:00,30.33
2018-12-30 05:00:00,31.2
2018-12-30 06:00:00,30.61
2018-12-30 07:00:00,29.1
2018-12-30 08:00:00,30.58
2018-12-30 09:00:00,28.96
2018-12-30 10:00:00,27.23
2018-12-30 11:00:00,29.11
2018-12-30 12:00:00,31.4
2018-12-30 13:00:00,32.03
2018-12-30 14:00:00,33.04
