Date Time,System Marginal Price (SMP)
2018-01-03 18:00:00,36.43
2018-01-03 19:00:00,36.43
2018-01-03 20:00:00,34.91
2018-01-03 21:00:00,34.19
2018-01-03 22:00:00,32.04
2018-01-03 23:00:00,31.74
2018-01-04 00:00:00,29.76
2018-01-04 01:00:00,27.37
2018-01-04 02:00:00,27.18
2018-01-04 03:00:00,27.18
2018-01-04 04:00:00,27.61
2018-01-04 05:00:00,28.91
2018-01-04 06:00:00,31.73
2018-01-04 07:00:00,34.41
2018-01-04 08:00:00,35.99
2018-01-04 09:00:00,36.42
2018-01-04 10:00:00,35.39
2018-01-04 11:00:00,35.52
2018-01-04 12:00:00,36.37
2018-01-04 13:00:00,34.09
2018-01-04 14:00:00,33.25
2018-01-04 15:00:00,33.64
2018-01-04 16:00:00,34.14
2018-01-04 17:00:00,36.43
2018-01-04 18:00:00,35.86
2018-01-04 19:00:00,34.54
2018-01-04 20:00:00,34.54
2018-01-04 21:00:00,33.47
2018-01-04 22:00:00,32.32
2018-01-04 23:00:00,31.74
2018-01-05 00:00:00,31.69
2018-01-05 01:00:00,30.58
2018-01-05 02:00:00,28.13
2018-01-05 03:00:00,27.82
2018-01-05 04:00:00,27.82
2018-01-05 05:00:00,29.87
2018-01-05 06:00:00,31.82
2018-01-05 07:00:00,42.94
2018-01-05 08:00:00,36.95
2018-01-05 09:00:00,33.25
2018-01-05 10:00:00,34.38
2018-01-05 11:00:00,33.25
2018-01-05 12:00:00,33.25
2018-01-05 13:00:00,33.42
2018-01-05 14:00:00,36.43
2018-01-05 15:00:00,35.08
2018-01-05 16:00:00,33.34
