Date Time,System Marginal Price (SMP)
2019-03-07 17:00:00,36.93
2019-03-07 18:00:00,34.57
2019-03-07 19:00:00,34.01
2019-03-07 20:00:00,34.98
2019-03-07 21:00:00,36
2019-03-07 22:00:00,33.56
2019-03-07 23:00:00,39.94
2019-03-08 00:00:00,33.22
2019-03-08 01:00:00,35.2
2019-03-08 02:00:00,32.99
2019-03-08 03:00:00,32.99
2019-03-08 04:00:00,33.09
2019-03-08 05:00:00,33.12
2019-03-08 06:00:00,35.37
2019-03-08 07:00:00,47.96
2019-03-08 08:00:00,49.98
2019-03-08 09:00:00,47.89
2019-03-08 10:00:00,39.54
2019-03-08 11:00:00,46.97
2019-03-08 12:00:00,36.84
2019-03-08 13:00:00,33.22
2019-03-08 14:00:00,35.5
2019-03-08 15:00:00,44.37
2019-03-08 16:00:00,43.19
2019-03-08 17:00:00,51.23
2019-03-08 18:00:00,309.3
2019-03-08 19:00:00,173.55
2019-03-08 20:00:00,88.32
2019-03-08 21:00:00,58.86
2019-03-08 22:00:00,52.92
2019-03-08 23:00:00,48.85
2019-03-09 00:00:00,48.27
2019-03-09 01:00:00,43.44
2019-03-09 02:00:00,37.24
2019-03-09 03:00:00,33.23
2019-03-09 04:00:00,33.23
2019-03-09 05:00:00,33.23
2019-03-09 06:00:00,44.98
2019-03-09 07:00:00,46.21
2019-03-09 08:00:00,45.59
2019-03-09 09:00:00,38.53
2019-03-09 10:00:00,36.15
2019-03-09 11:00:00,41.99
2019-03-09 12:00:00,47.95
2019-03-09 13:00:00,44.11
2019-03-09 14:00:00,42.44
2019-03-09 15:00:00,40.78
2019-03-09 16:00:00,33.23
