Date Time,System Marginal Price (SMP)
2019-03-20 11:00:00,44.98
2019-03-20 12:00:00,51.25
2019-03-20 13:00:00,80.8
2019-03-20 14:00:00,71.12
2019-03-20 15:00:00,88.87
2019-03-20 16:00:00,73.24
2019-03-20 17:00:00,762.54
2019-03-20 18:00:00,87.03
2019-03-20 19:00:00,53.54
2019-03-20 20:00:00,418.88
2019-03-20 21:00:00,175.42
2019-03-20 22:00:00,44.61
2019-03-20 23:00:00,42.2
2019-03-21 00:00:00,33.22
2019-03-21 01:00:00,43.91
2019-03-21 02:00:00,44.45
2019-03-21 03:00:00,44.78
2019-03-21 04:00:00,44.82
2019-03-21 05:00:00,46.12
2019-03-21 06:00:00,86.47
2019-03-21 07:00:00,78.21
2019-03-21 08:00:00,94.42
2019-03-21 09:00:00,728.44
2019-03-21 10:00:00,678.58
2019-03-21 11:00:00,148.14
2019-03-21 12:00:00,36.88
2019-03-21 13:00:00,34.2
2019-03-21 14:00:00,44.57
2019-03-21 15:00:00,89.98
2019-03-21 16:00:00,88.46
2019-03-21 17:00:00,55
2019-03-21 18:00:00,35.8
2019-03-21 19:00:00,76.59
2019-03-21 20:00:00,88.38
2019-03-21 21:00:00,53.95
2019-03-21 22:00:00,33.22
2019-03-21 23:00:00,33.22
2019-03-22 00:00:00,36.76
2019-03-22 01:00:00,32.99
2019-03-22 02:00:00,32.19
2019-03-22 03:00:00,29.89
2019-03-22 04:00:00,30.62
2019-03-22 05:00:00,33.05
2019-03-22 06:00:00,35.63
2019-03-22 07:00:00,33.22
2019-03-22 08:00:00,33.22
2019-03-22 09:00:00,71.34
2019-03-22 10:00:00,88.79
